Course Name,University,Difficulty Level,Course Rating,Course URL,Skills
Agile Projects: Developing Tasks with Taiga,Coursera Project Network,Beginner,4,https://www.coursera.org/learn/developing-agile-tasks-taiga,project modeling Project Management agile management user story presentation Product Development Leadership and Management documents Web Design business business-strategy
Esports Management Capstone Project,"University of California, Irvine",Beginner,4.4,https://www.coursera.org/learn/esports-management-capstone-project,Average Planning Leadership and Management Peer Review Strategy peering evaluation Recruiting project interest business leadership-and-management
Hacking and Patching,University of Colorado System,Advanced,3.4,https://www.coursera.org/learn/hacking-patching,Security Design design pattern web application internet security SQL select (sql) metasploit project penetration test security password cracking computer-science computer-security-and-networks
Business Statistics and Analysis Capstone,Rice University,Beginner,4.7,https://www.coursera.org/learn/business-statistics-analysis-capstone,Statistical Analysis Microsoft Excel business analytics Regression Analysis General Statistics Data Analysis Regression analytics analysis Business Analysis data-science data-analysis
Grab Data Fast with Vertical and Horizontal LOOKUP,Coursera Project Network,Beginner,4.5,https://www.coursera.org/learn/grab-data-fast-with-vertical-and-horizontal-lookup-in-google-sheets,evaluation software presentation lookup table Spreadsheet Software Benefits spreadsheet project index fasting business business-essentials
Global Health: An Interdisciplinary Overview,University of Geneva,Beginner,4.6,https://www.coursera.org/learn/global-health-overview,sustainability research and development Communication health system Leadership and Management health research global disease drug development public health life-sciences public-health
Python Programming Essentials,Rice University,Beginner,4.8,https://www.coursera.org/learn/python-programming,semantics Python Programming coding conventions codeskulptor Problem Solving syntax Computer Programming programming style python syntax and semantics euler's totient function computer-science software-development
Creating Dashboards and Storytelling with Tableau,"University of California, Davis",Advanced,4.6,https://www.coursera.org/learn/dataviz-dashboards,neuroscience Data Visualization Storytelling tableau software business analytics checklists software method of analytic tableaux javascript syntax audience data-science data-analysis
Parallel programming,ï¿½cole Polytechnique Fï¿½dï¿½rale de Lausanne,Beginner,4.4,https://www.coursera.org/learn/parprog1,Data Structures parallel algorithm openfabrics alliance task parallelism unified parallel c Algorithms data parallelism scala programming parallel computing Computer Programming computer-science software-development
Recommendation Systems with TensorFlow on GCP,Google Cloud,Advanced,4.2,https://www.coursera.org/learn/recommendation-models-gcp,systems architecture Cloud Computing Google Cloud Platform Tensorflow Deep Learning Cloud Platforms Machine Learning matrices Artificial Neural Networks recommender systems data-science machine-learning
The Changing Arctic,National Research Tomsk State University,Not Calibrated,4.3,https://www.coursera.org/learn/changing-arctic,Human Learning Geology curiosity methane Problem Solving plant biologist resource dam volatile organic compound life-sciences basic-science
COVID-19 - A clinical update,University of Florida,Beginner,4.7,https://www.coursera.org/learn/covid19clinicalupdate,disease mechanical ventilation vaccine outbreak epidemic medical history intubation Epidemics patient social distancing life-sciences patient-care
How to Create Text Effects in GIMP,Coursera Project Network,Beginner,4.7,https://www.coursera.org/learn/how-to-create-text-effects-in-gimp,pointing device gesture r&d management Gradient lambda lifting ordered pair english grammar top-down and bottom-up design standing ovation path (variable) project computer-science design-and-product
Preparing for the Google Cloud Professional Data Engineer Exam,Google Cloud,Beginner,4.5,https://www.coursera.org/learn/preparing-cloud-professional-data-engineer-exam,business requirements Cloud Computing Google Cloud Platform information engineering Cloud Platforms google cloud dataproc dataflow Databases bigquery Machine Learning information-technology cloud-computing
Multiple Regression Analysis in Public Health,Johns Hopkins University,Intermediate,4.6,https://www.coursera.org/learn/multiple-regression-analysis-public-health,Regression Analysis Regression public health Confounding interaction (statistics) Estimation linear regression Confidence Interval odds ratio Logistic Regression life-sciences health-informatics
General Pathophysiology,Saint Petersburg State University,Intermediate,4,https://www.coursera.org/learn/pathophysiology,medicine biomedical sciences microcirculation physiology endocrinology biochemistry inflammations pathophysiology pathology internal medicine life-sciences basic-science
Population Health: Alternative Payment Models,Universiteit Leiden,Advanced,4.9,https://www.coursera.org/learn/alternative-payment-models,incentive Behavioral Economics loss aversion modeling enabling relative change and difference Financial Accounting desire Payments Risk life-sciences healthcare-management
AWS Elastic Beanstalk: Build & Deploy a Node.js RESTful API,Coursera Project Network,Advanced,5,https://www.coursera.org/learn/nodejs-api-aws-elastic-beanstalk,representational state transfer uniform resource locator Cloud Computing web application ordered pair hypertext transfer protocol virtual private server web application programming interfaces Switches information-technology cloud-computing
"Philosophy, Science and Religion: Philosophy and Religion",The University of Edinburgh,Intermediate,4.6,https://www.coursera.org/learn/philosophy-science-religion-2,ordered pair arts and humanities virtue spirituality philosophy cognitive science bible belief religion evolution arts-and-humanities philosophy
Poverty & Population: How Demographics Shape Policy,Columbia University,Advanced,4.9,https://www.coursera.org/learn/poverty-population-demographics-policy,education Billing political science oppression Population inflation unemployment market (economics) demography social work social-sciences governance-and-society
Electrodynamics: Analysis of Electric Fields,Korea Advanced Institute of Science and Technology(KAIST),Intermediate,4.8,https://www.coursera.org/learn/electrodynamics-analysis-of-electric-fields,colloid Chemical Engineering electronics equipotential high voltage physics physics experiments Electrical Engineering Studentized Residual energy physical-science-and-engineering electrical-engineering
The Music of American English Pronunciation,"University of California, Irvine",Beginner,4.7,https://www.coursera.org/learn/american-english-pronunciation-music,Receiving english grammar translation data clustering algorithms speech music grammar stress english language phonetics language-learning learning-english
Fundamentals of Management,"University of California, Irvine",Beginner,4.5,https://www.coursera.org/learn/fundamentals-of-management,control (management) Planning process Leadership and Management management theory process management leadership management process Change Management organizing (management) business leadership-and-management
Advanced Speaking and Listening Project,"University of California, Irvine",Advanced,5,https://www.coursera.org/learn/speaking-listening-capstone,project rapid serial visual presentation panel discussion Critical Thinking listening speech english language Language Learning presentation language language-learning learning-english
Hybrid Cloud Service Mesh with Anthos,Google Cloud,Beginner,4.8,https://www.coursera.org/learn/hybrid-cloud-service-mesh-anthos,authentication multiplexed transport layer security it service management authorization service discovery load balancing application layer access control intelligent network traffic management information-technology cloud-computing
Dealing With Missing Data,"University of Maryland, College Park",Advanced,3.5,https://www.coursera.org/learn/missing-data,Estimation Weighting population control sample size determination Surveying Missing Data Stata Regression coverage error sampling frame data-science data-analysis
COBOL Programming with VSCode,IBM,Beginner,4.7,https://www.coursera.org/learn/cobol-programming-vscode,ibm cobol numbers (spreadsheet) relative change and difference Computer Programming data type cobol reserved word Arithmetic Mainframe Continuous Function computer-science software-development
Cryptography and Hashing Overview,"University of California, Irvine",Conversant,4.7,https://www.coursera.org/learn/crypto-hashing,Average Cryptography encryption hash function public-key cryptography string (computer science) verification and validation hashing password BlockChain computer-science algorithms
Postman - Intro to APIs (without coding),Coursera Project Network,Beginner,4.4,https://www.coursera.org/learn/laura-gemmell-intro-postman-apis,project mine Marketing news network news transfer protocol project Writing application programming interfaces uniform resource locator numbers (spreadsheet) interact information-technology data-management
Protecting Business Innovations via Patent,The Hong Kong University of Science and Technology,Beginner,4.8,https://www.coursera.org/learn/protect-business-innovations-patent,service innovation Innovation Patent Law intellectual property ordered pair law utility Planning business process cost business business-strategy
"Real-time OCR and Text Detection with Tensorflow, OpenCV and Tesseract",Coursera Project Network,Beginner,3.7,https://www.coursera.org/learn/ocr-text-detection-tensorflow-opencv-tesseract,image processing openbsd optical character recognition digital image processing Python Programming Tensorflow region of interest object detection opencv Machine Learning data-science machine-learning
Global Strategy I: How The Global Economy Works,University of Illinois at Urbana-Champaign,Advanced,4.8,https://www.coursera.org/learn/global-strategy,relative change and difference economy competitiveness case study analysis foreign direct investment trading Economic Models emerging markets global business business-strategy
Disability Inclusion in Education: Building Systems of Support,University of Cape Town,Intermediate,4.8,https://www.coursera.org/learn/disability-inclusion-education,social justice Special Education Learning Disability education empowerment intellectual disability learning disabilities Causality teaching Child Psychology social-sciences education
Introduction to Cybersecurity Tools & Cyber Attacks,IBM,Beginner,4.3,https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks,cyber-security regulation cyber security standards forensics security digital forensics cybercrime Cryptography Cyberattacks Leadership and Management penetration test information-technology cloud-computing
Introduction to Cybersecurity Tools & Cyber Attacks,IBM,Beginner,4.3,https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks,cyber-security regulation cyber security standards forensics security digital forensics cybercrime Cryptography Cyberattacks Leadership and Management penetration test information-technology cloud-computing
"Fundamentals of Funding, with Goldman Sachs 10,000 Women",Goldman Sachs,Beginner,4.6,https://www.coursera.org/learn/10k-women-9,Communication valuation of options funds online learning Banking Loan Repayment Private Equity investment banking Finance funding options business entrepreneurship
Foundations of Objective-C App Development,"University of California, Irvine",Beginner,4.7,https://www.coursera.org/learn/objective-c,iOS Development printf format string xcode c programming Computer Programming euler's totient function objective-c Swift Programming c++ ordered pair computer-science mobile-and-web-development
Programming Mobile Applications for Android Handheld Systems: Part 2,"University of Maryland, College Park",Advanced,4.7,https://www.coursera.org/learn/android-programming-2,notification area interaction technique Android Development Software Engineering mobile app shell (computing) widget (gui) php graphical user interface elements Databases computer-science mobile-and-web-development
Analyzing Market Attractiveness Using Creately,Coursera Project Network,Beginner,4.7,https://www.coursera.org/learn/analyzing-market-attractiveness-creately,Financial Analysis market (economics) Strategy Business Strategy attractiveness competitiveness supply chain business plan porter's five forces analysis analysis business business-strategy
Personal Leadership Development Planning and Leading High Performing Teams,Rice University,Advanced,4.7,https://www.coursera.org/learn/leadership-development-planning,personal advertisement performance Leadership Development self-assessment delegation smart criteria motivation leadership empowerment competence (human resources) business leadership-and-management
Integrating Scripts for Scene Interactions,Unity,Advanced,4.8,https://www.coursera.org/learn/integrating-scripts-for-scene-interactions,Switches interactivity experience ordered pair video game development Computer Programming computer animation project User Experience Visual Design computer-science design-and-product
Voices of Social Change,Laureate Education,Beginner,4.7,https://www.coursera.org/learn/voicesofsocialchange,social network process Planning friendship takeover business process relative change and difference design thinking social work brainstorming personal-development personal-development
"Managing Asthma, Allergies, Diabetes, and Seizures in School",University of Colorado System,Beginner,4.8,https://www.coursera.org/learn/managing-asthma-allergies-diabetes-and-seizures-in-school,health care first aid medication asthma allergy glucose emergency emergency management symptoms Leadership and Management life-sciences patient-care
Global Challenges in Business Capstone,University of Illinois at Urbana-Champaign,Advanced,4.5,https://www.coursera.org/learn/global-challenges-business-capstone,supply chain global pricing market segmentation go to market market (economics) corporate social responsibility strategic management Target Market added value business business-essentials
Severe to Profound Intellectual Disability: Circles of Care and Education,University of Cape Town,Intermediate,4.7,https://www.coursera.org/learn/intellectual-disability-care-education,lifelong learning process Special Education intellectual disability developmental disabilities education child intellectual autism facilitation life-sciences healthcare-management
Teaching Children with Visual Impairment: Creating Empowering Classrooms,University of Cape Town,Beginner,4.9,https://www.coursera.org/learn/teach-children-with-visual-impairment,child development education teaching peer support Special Education experience learning styles psychosocial assistive technology child social-sciences education
Intercultural Communication and Conflict Resolution,"University of California, Irvine",Advanced,4.3,https://www.coursera.org/learn/intercultural-communication,relative change and difference international relations psychological first aid cross-cultural communication Planning Office Administration intercultural communication Communication Culture conflict resolution business business-essentials
Prediction and Control with Function Approximation,University of Alberta,Beginner,4.8,https://www.coursera.org/learn/prediction-control-function-approximation,reinforcement Gradient gradient descent Reinforcement Learning approximation markov decision process euler's totient function function approximation Human Learning table of keyboard shortcuts data-science machine-learning
Advanced Neurobiology I,Peking University,Beginner,3.5,https://www.coursera.org/learn/Advanced-neurobiology1,action potential biochemistry neuron (software) anatomy pharmacology neurobiology neuroscience biology alzheimer's disease molecular biology life-sciences basic-science
Foundations of Teaching for Learning: Introduction,Commonwealth Education Trust,Intermediate,4.5,https://www.coursera.org/learn/teaching,psychology Human Learning interpersonal relationships educational practices teaching teaching method proactivity thought child development Planning social-sciences education
Change Leadership: Developing Force Field Analysis in Miro,Coursera Project Network,Advanced,5,https://www.coursera.org/learn/change-force-analysis,business case personal advertisement Mapping Planning project Map e-nable Change Management Writing enabling business business-strategy
Lesson | Telephone Language,Georgia Institute of Technology,Not Calibrated,4.5,https://www.coursera.org/learn/lesson-telephone-language,speech language Marketing law B2B Marketing Digital Marketing english language online learning community Accounting E-Commerce language-learning learning-english
Python Tricks and Hacks for Productivity,Coursera Project Network,Advanced,4.1,https://www.coursera.org/learn/python-hacks,Computer Programming Transpose concision Python Programming Software Engineering grasp project Operations Management progress bar dict computer-science software-development
Privacy in the USA,EIT Digital,Advanced,4.6,https://www.coursera.org/learn/privacy-laws-us,american law personally identifiable information security privacy data protection telecommunications litigation public relations financial privacy stemming law social-sciences law
Japanese for beginners 2,Saint Petersburg State University,Beginner,4.4,https://www.coursera.org/learn/japanese-2,shopping japanese language grammar Writing materials linguistics listening korean language process video game development language-learning other-languages
Introduction to Recommender Systems: Non-Personalized and Content-Based,University of Minnesota,Beginner,4.3,https://www.coursera.org/learn/recommender-systems-introduction,demography Tf Idf Summary Statistics recommender systems information retrieval recursively enumerable set personalization preference tracking Machine Learning data-science machine-learning
Global Disease Masterclass: Global Disease Distribution,Imperial College London,Beginner,4.5,https://www.coursera.org/learn/global-disease-distribution,global Determinants General Statistics Risk Studentized Residual health data risk factors Risk Factor Chi-Squared Distribution disease life-sciences public-health
Age of Cathedrals,Yale University,Intermediate,4.7,https://www.coursera.org/learn/age-of-cathedrals,architecture art bible Art History glassing middle age ageing mother Autoregressive Conditional Heteroskedasticity history arts-and-humanities history
Smart Contracts,The State University of New York,Advanced,4.6,https://www.coursera.org/learn/smarter-contracts,client (computing) BlockChain access modifiers interfaces tracing (software) teleprocessing monitor smart contract deployment environment ethereum solidity computer-science software-development
Create an FPS Weapon in Unity (Part 1 - Revolver),Coursera Project Network,Advanced,5,https://www.coursera.org/learn/create-fps-weapon-unity-revolver,gamification of learning project process .properties hold java annotation source lines of code e-nable teaching method parenting computer-science software-development
Homeland Security and Cybersecurity Future,University of Colorado System,Intermediate,4.6,https://www.coursera.org/learn/homeland-security-cybersecurity-future,Leadership and Management crime Risk criminology security computer and network surveillance no silver bullet trade-off cybercrime risk analysis social-sciences governance-and-society
Healthcare Consumerism and Implication for Care Delivery,Northeastern University,Intermediate,4.5,https://www.coursera.org/learn/healthcareconsumerism,Healthcare Management emotion insurance Change Management voice of the customer Leadership and Management nutrition fee-for-service Human Learning ecosystems life-sciences healthcare-management
Magna Carta and its Legacies: Freedom and protest,University of London,Intermediate,4.4,https://www.coursera.org/learn/magna-carta,land law go (programming language) english language historiography history of ideas authority constitution law history common law arts-and-humanities history
Converter Circuits,University of Colorado Boulder,Advanced,4.8,https://www.coursera.org/learn/converter-circuits,modeling analysis sensitivity index topology electronics Electrical Engineering Switches simulation power electronics Electronic Design physical-science-and-engineering electrical-engineering
Predictive Modeling and Analytics,University of Colorado Boulder,Advanced,3,https://www.coursera.org/learn/predictive-modeling-analytics,Logistic Regression analytics predictive analytics Regression Data Analysis Regression Analysis supply chain analysis linear regression predictive modelling data-science data-analysis
Animals and Institutions,University of Colorado Boulder,Beginner,5,https://www.coursera.org/learn/animals-institutions,livestock animal veterinary veterinary medicine captivity dieting sports animal science medicine evaluation social-sciences governance-and-society
ART of the MOOC: Public Art and Pedagogy,Duke University,Not Calibrated,4.6,https://www.coursera.org/learn/public-art-pedagogy,educational entertainment level of analysis history of rock art therapy history art case study interview Critical Thinking media & citizenship arts-and-humanities music-and-art
Genetics and Society: A Course for Educators,American Museum of Natural History,Intermediate,4.7,https://www.coursera.org/learn/genetics-society,biology genetically modified organisms medicine genetics genomics agriculture stem cell history of genetics dna profiling comparative genomics life-sciences basic-science
Related to Russian History: from Lenin to Putin,"University of California, Santa Cruz",Intermediate,4.7,https://www.coursera.org/learn/Related to Russian-history-lenin-putin,foreign policy Related to Russian Note Taking market price Art History latex essay writing arts and humanities history war arts-and-humanities history
Packet Switching Networks and Algorithms,University of Colorado System,Advanced,4.6,https://www.coursera.org/learn/packet-switching-networks-algorithms,packet switching traffic management network layer routing random early detection network topology token bucket routing protocol topology open shortest path first computer-science computer-security-and-networks
Transgender Medicine for General Medical Providers,Icahn School of Medicine at Mount Sinai,Intermediate,4.8,https://www.coursera.org/learn/transgender-medicine,therapy Medical Practice behavior therapy Medical Statistics medicine good clinical practice Surgery hormone replacement therapy hormone women's health life-sciences patient-care
Epigenetic Control of Gene Expression,The University of Melbourne,Beginner,4.8,https://www.coursera.org/learn/epigenetics,Cancer reproductive technology Dna Methylation assisted reproductive technology gene expression DNA gene genetics stem cell Cancer Epigenetics life-sciences basic-science
Successful Interviewing,"University of Maryland, College Park",Advanced,4.7,https://www.coursera.org/learn/successful-interviewing,Strategy canned response show me! interview career technology strategy experience english language speech self-assessment language-learning learning-english
The hidden value ï¿½ Lean in manufacturing and services,ï¿½cole des Ponts ParisTech,Intermediate,4.7,https://www.coursera.org/learn/lean-manufacturing-services,Kaizen Mapping value stream mapping manufacturing process management process lean manufacturing lean thinking streams thought Lean Methods business business-essentials
Mastering SQL Joins,Coursera Project Network,Advanced,4,https://www.coursera.org/learn/mastering-sql-joins,aggregate function project employment sorting more than two modulo operation Data Analysis euler's totient function project mine ascendency data-science data-analysis
Create a Database with the Modeling Tool in MySQL Workbench,Coursera Project Network,Intermediate,4.7,https://www.coursera.org/learn/create-database-with-modeling-tool-mysql-workbench,Databases java annotation integrated development environments mysql database management systems user interface mysql workbench table (database) relational database Database Design information-technology data-management
Project Planning and Machine Learning,University of Colorado Boulder,Beginner,4.4,https://www.coursera.org/learn/industrial-iot-project-planning-machine-learning,Machine Learning Algorithms Planning internet of things project process system u project planning Big Data project plan Machine Learning computer-science design-and-product
Build Random Forests in R with Azure ML Studio,Coursera Project Network,Beginner,4.7,https://www.coursera.org/learn/azure-machine-learning-studio-random-forests,forest Writing Random Forest evaluation Machine Learning Python Programming R Programming randomness Experiment Feature Engineering data-science machine-learning
"Introduction to CAD, CAM, and Practical CNC Machining",Autodesk,Beginner,4.8,https://www.coursera.org/learn/introduction-cad-cam-practical-cnc-machining,Autodesk CNC Machine physics 3d modeling Chemical Engineering manufacturing process management programming tool computer-aided design Mechanical Engineering autocad physical-science-and-engineering mechanical-engineering
Problem Solving Using Computational Thinking,University of Michigan,Beginner,4.7,https://www.coursera.org/learn/compthinking,Epidemiology relative change and difference decomposition Problem Solving evaluation problem statement Computational Thinking human trafficking Algorithms hindley milner type system computer-science algorithms
"Surveillance Systems: Analysis, Dissemination, and Special Systems",Johns Hopkins University,Intermediate,4.7,https://www.coursera.org/learn/epidemiology-surveillance-systems-analysis,disease disease surveillance Epidemiology public health surveillance antimicrobial resistance public health antimicrobials prevention non-communicable disease risk factors life-sciences public-health
Control physics with C# in Unity,Coursera Project Network,Beginner,4.8,https://www.coursera.org/learn/controlling-physics-c-sharp-unity,c++ Computer Programming c sharp (programming language) video game development language Cartogram physics animation software Civil Engineering Electrical Engineering computer-science software-development
Create Relational Database Tables Using SQLiteStudio,Coursera Project Network,Beginner,4.7,https://www.coursera.org/learn/create-relational-database-table-sqlitestudio,database management systems Databases web browsers BlockChain relational database sqlite web Average SQL table (database) information-technology data-management
Spacecraft Dynamics Capstone: Mars Mission,University of Colorado Boulder,Advanced,4.8,https://www.coursera.org/learn/capstone-mars-mission,simulation daughter autonomous cars tracking numerical analysis Framing computer simulation satellite Mechanical Engineering physics physical-science-and-engineering physics-and-astronomy
Guided Imagery,University of Minnesota,Intermediate,4.8,https://www.coursera.org/learn/guided-imagery,functional medicine music meditation counseling psychology psychotherapy healing guided imagery patient hypnosis naturopathy life-sciences research
Making Architecture,IE Business School,Intermediate,4.8,https://www.coursera.org/learn/making-architecture,Design Analysis modeling Interior Design architecture thought architectural design Landscape Design Landscape Architecture analysis Creativity arts-and-humanities music-and-art
Building Resilient Streaming Analytics Systems on GCP,Google Cloud,Advanced,4.6,https://www.coursera.org/learn/streaming-analytics-systems-gcp,Cloud Computing bigquery bigtable dataflow query optimization stream processing Google Cloud Platform streams mathematical optimization publish subscribe pattern information-technology cloud-computing
Types of Conflict,"University of California, Irvine",Intermediate,4.3,https://www.coursera.org/learn/types-of-conflict,conflict resolution Leadership and Management Office Administration active listening Communication Employee Relations sociology psychology interpersonal communication Conflict Management business business-essentials
Product Design: Designing a modern table lamp using SketchUp,Coursera Project Network,Beginner,4.7,https://www.coursera.org/learn/product-design-designing-a-modern-table-lamp-using-sketchup,sketchup lamp (software bundle) Web Design Graphic Design Graphics Software 3d graphics software rendering (computer graphics) Product Design Computer Graphics 3d computer graphics computer-science design-and-product
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,Beginner,4.6,https://www.coursera.org/learn/beyond-the-sustainable-development-goals-addressing-sustainability-and-development,ecotourism the economics of ecosystems and biodiversity political science circular economy history economics of sustainability sustainability climate change biodiversity biodiversity loss social-sciences governance-and-society
The New Nordic Diet - from Gastronomy to Health,University of Copenhagen,Beginner,4.5,https://www.coursera.org/learn/new-nordic-diet,dietetics dieting sustainability cardiovascular disease diet (nutrition) acceptance nutrition lifestyle disease eating diets life-sciences nutrition
Voice Disorders: What Patients and Professionals Need to Know,Icahn School of Medicine at Mount Sinai,Intermediate,4.9,https://www.coursera.org/learn/voice-disorders,anatomy Speech Language Pathology sign language communication disorder music Music Therapy speech and language pathology medicine performance human voice life-sciences patient-care
Teaching Tips for Tricky English Grammar,"University of California, Irvine",Intermediate,4.7,https://www.coursera.org/learn/teaching-common-grammar-mistakes,collocation formal grammar teaching english grammar assistant teacher grammar japanese language english language adjective Student's t-Distribution language-learning learning-english
"Learn to Teach Java: Boolean Expressions, If Statements, and Iteration",University of California San Diego,Advanced,Not Calibrated,https://www.coursera.org/learn/teach-java-boolean-expressions-if-statements-iteration,specification (technical standard) iteration code segment test case modulo operation modeling market segmentation for loop boolean expression method (computer programming) social-sciences education
Business Writing,University of Colorado Boulder,Beginner,4.7,https://www.coursera.org/learn/writing-for-business,Business Writing email writing Writing english language confidence Communication Business Communication email presentation grammar business business-essentials
Cyber Threats and Attack Vectors,University of Colorado System,Intermediate,4.6,https://www.coursera.org/learn/cyber-threats-attack-vectors,passive attack security data breaches vulnerability (computing) cloud computing security resource wireless breach (security exploit) threat Cloud Computing information-technology security
Build a Table Layout App in Android Studio,Coursera Project Network,Beginner,4.5,https://www.coursera.org/learn/build-table-layout-app-android-studio,android studio upload matching java (software platform) Java Programming Android Development drop-down list Software Engineering text box Computer Programming computer-science mobile-and-web-development
Introduction to Genomic Technologies,Johns Hopkins University,Conversant,4.5,https://www.coursera.org/learn/introduction-genomics,Statistical Analysis genomics genetics molecular biology General Statistics biology Bioinformatics analysis Biostatistics computational biology data-science data-analysis
Designing for Sustainment: Keeping Improvement Work on Track (Patient Safety IV),Johns Hopkins University,Intermediate,4.5,https://www.coursera.org/learn/patient-safety-sustainment,leadership project Strategy patient safety maximization (psychology) project planning sustainability augmented assignment project plan Change Management life-sciences patient-care
Big data and Language 2,Korea Advanced Institute of Science and Technology(KAIST),Advanced,5,https://www.coursera.org/learn/big-data-language-2,text corpus relative change and difference language linguistics corpora process analysis Big Data corpus linguistics search engine optimization language-learning learning-english
Understanding the Australian economy: An introduction to macroeconomic and financial policies,The University of Sydney,Intermediate,4.6,https://www.coursera.org/learn/australian-economy,Finance economy inflation Causality fiscal policy gross domestic product Economics banking in australia monetary policy crisis social-sciences economics
Bayesian Statistics: Mixture Models,"University of California, Santa Cruz",Beginner,4.8,https://www.coursera.org/learn/mixture-models,data clustering algorithms Mixture Model Bayesian Statistics mixture distribution markov chain Algorithms Studentized Residual sampling statistics General Statistics Bayesian data-science data-analysis
Networking and Security in iOS Applications,"University of California, Irvine",Advanced,4.6,https://www.coursera.org/learn/security,oauth javascript syntax iOS Development authentication hypertext transfer protocol uniform resource locator web service single sign-on web push technology computer-science computer-security-and-networks
Improving Math Engagement with Prodigy,Coursera Project Network,Beginner,4.8,https://www.coursera.org/learn/teaching-prodigy,Accounting Mathematics student engagement child Strategy Factorial project mine home home directory project social-sciences education
Molecular Evolution (Bioinformatics IV),University of California San Diego,Advanced,4.7,https://www.coursera.org/learn/molecular-evolution,Bioinformatics phylogenetic tree introduction to evolution Molecular Evolution hindley milner type system evolution computational biology phylogenetics genomics biotechnology life-sciences health-informatics
Exception Handling in Python,Coursera Project Network,Beginner,4.7,https://www.coursera.org/learn/exception-handling-in-python,Python Programming exception handling relative change and difference approximation error ordered pair compiler Type I And Type Ii Errors Computer Programming project syntax computer-science software-development
FinTech Foundations and Overview,The Hong Kong University of Science and Technology,Intermediate,4.7,https://www.coursera.org/learn/fintech,financial services Finance financial services companies trading BlockChain Innovation Payments stock FinTech cryptocurrency business finance
Information & Digital Literacy for University Success,The University of Sydney,Beginner,4.9,https://www.coursera.org/learn/digital-literacy,evaluation information source sources Writing brainstorming Critical Thinking organizing (management) web content Communication digital identity social-sciences education
Improving Classroom Management with Class Dojo,Coursera Project Network,Beginner,4.9,https://www.coursera.org/learn/improving-classroom-management-classdojo,parent Economics confidence choice project parenting social work project mine positive psychology behavior social-sciences education
Managing Big Data with MySQL,Duke University,Beginner,4.6,https://www.coursera.org/learn/analytics-mysql,SQL Leadership and Management analysis relational database Databases select (sql) Big Data language Data Analysis mysql data-science data-analysis
"Risk, Return & Valuation",University of Michigan,Beginner,4.8,https://www.coursera.org/learn/risk-return-and-valuation,relative change and difference Correlation And Dependence return on equity cash flow Finance valuation (finance) average cost method debt stock Risk business finance
Managing Employee Performance,University of Minnesota,Beginner,4.7,https://www.coursera.org/learn/employee-performance,Culture employment performance appraisal Performance Management organizational culture Leadership and Management leadership performance Human Resources resource business business-essentials
Channel Management and Retailing,IE Business School,Beginner,4.4,https://www.coursera.org/learn/channel-management,retailing Marketing category management Retail Management marketing mix visual merchandising Leadership and Management Trade Marketing distribution (business) Channel Management business marketing
